SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_CONTACT_NAME,SUPPLIER_HOUSE_NUMBER,SUPPLIER_STREET_NAME_1,SUPPLIER_STREET_NAME_2,SUPPLIER_CITY,SUPPLIER_COUNTRY,SUPPLIER_CONTACT_NUMBER,SUPPLIER_CONTACT_NUMBER2,SUPPLIER_EMAIL
1,DIGISAY CO. LTD.,Berry Parker,68, Marock Lane, - , Vacoas, Mauritius,57841266,6028010,bparker@intnet.mu
2,EMTELLO LTD,Megan Hembly,998, Bistrop Street, Marlone, Pamplemousses, Mauritius,2420641,57841698,mhem@my-t.mu
3,FIRELAND BROS.,Amelia Bridney,-, Main court bldg, Nerling road, Moka, Mauritius,59480015, - ,abridney@gmail.com
4,FOXY ELECTRONICS,Reddy Floyd,C47, Green Street, -, Savanne, Mauritius,52845412, - ,foxyelec@yahoo.fr
5,JINFIX COMPUTERS,Jordan Liu Min,93, Bardeau lane, - , Port Louis, Mauritius,58412556,2195412,contactus@jinfixcomputers.com
6,LAMBONI STAT INC.,Frederic Pey,9, Lamu Building, Stacy Street, Camp Hill, Pamplemousses,52557435, - ,manustat@gmail.com
7,MOTTOWAY CORP.,Stevens Seernah,B312, Cite la Cure, Jean XXIII Road, Port Louis, Mauritius,57942513, - ,steseer@mottoway.com
8,PEGASUS 1212LTD,Georges Neeroo,40, Ferney Way, Mission Road, Curepipe, Mauritius,4615841,5741254,geonee@pegasus.mu
9,PEGASUS LTD,Georges Neeroo,40, Ferney Way, Mission Road, Curepipe, Mauritius,4615841,57412545,geonee@pegasus.mu
10,SAFEDEST TAXI SERVICES,Steeve Narsimullu,-, Le clezio street, Barbley wood, Highlands, Mauritius,58741002,274512,steeve.nar@safedest.mu
11,STUFFIE STATIONERY,Zenhir Belall,67, Bistro Route, Heneral Street, Vacaoas, Mauritius,6547416, - ,info@sstat.com
